"country","Immigrants with patents"
"United States","194600"
"Germany","25300"
"Switzerland","20400"
"United Kingdom","15800"
"Netherlands","9700"
"France","9500"
"Canada","7300"
"Singapore","6700"
"Japan","6700"
"Belgium","5000"
"Sweden","4800"
"Australia","4400"
"China","4300"
"Austria","3100"
"Finland","3100"
"Denmark","2600"
"Spain","2400"
"Italy","2100"
"Ireland","1700"
"New Zealand","1300"
"Norway","1300"
"Israel","700"
"India","500"
"South Africa","400"
"Brazil","400"
"Luxembourg","300"
"Russia","200"
